movie,15,30,311,452,468,509,547,564,624,73
88 Minutes,2.0,4.0,2.0,,2.0,2.0,1.5,2.0,3.0,3.5
A Time to Kill,3.0,5.0,2.5,2.0,2.0,3.0,,4.0,3.0,3.0
Barry Lyndon,4.0,,3.0,3.0,3.0,3.5,4.0,5.0,4.0,2.5
Gleaming the Cube,2.5,4.0,4.0,,3.0,3.0,3.0,4.0,3.0,4.0
Judgment Night,4.0,4.0,4.0,4.0,3.5,3.0,2.5,1.0,,4.5
License to Wed,5.0,4.0,,2.0,3.0,4.0,3.5,5.0,4.0,5.0
Lonely Hearts,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,,4.0
Mr. Holland's Opus,2.0,1.0,3.5,3.0,2.5,2.0,,4.0,4.0,3.5
Psycho,2.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,
Rain Man,4.0,4.0,3.5,3.0,,2.0,3.0,5.0,3.0,3.0
Sleepless in Seattle,5.0,5.0,,5.0,4.0,5.0,4.0,2.0,5.0,5.0
The 39 Steps,5.0,4.0,4.0,4.0,3.5,5.0,,2.0,5.0,4.5
The Endless Summer,4.5,5.0,4.0,,2.5,4.0,4.0,4.0,2.0,3.5
The Forbidden Kingdom,1.0,5.0,3.0,,3.0,4.5,5.0,3.0,4.0,3.5
The Terminal,2.5,3.0,3.0,,4.0,3.5,5.0,4.0,4.0,3.5
